,COD_DEPTO,DEPTO,mean_value,std_value,ssp,period,model,crop
0,10,Intibucá,59.89763779527559,24.77865306999749,ssp126,2031_2060,ensemble,maize
0,12,La Paz,68.75862068965517,16.43864630528854,ssp126,2031_2060,ensemble,maize
0,13,Lempira,73.7784090909091,11.991559047017164,ssp126,2031_2060,ensemble,maize
0,14,Ocotepeque,71.74545454545455,10.467643968340434,ssp126,2031_2060,ensemble,maize
0,15,Olancho,65.17810026385224,16.601052056196107,ssp126,2031_2060,ensemble,maize
0,16,Santa Bárbara,60.63111111111111,27.940125047220548,ssp126,2031_2060,ensemble,maize
0,17,Valle,76.56896551724138,11.146535056125362,ssp126,2031_2060,ensemble,maize
0,18,Yoro,65.89164086687306,14.090508786585083,ssp126,2031_2060,ensemble,maize
0,01,Atlántida,46.0,20.311214994319137,ssp126,2041_2070,ensemble,banana
0,06,Choluteca,43.89784946236559,21.4447350657884,ssp126,2041_2070,ensemble,banana
0,02,Colon,39.32828282828283,10.141837942370264,ssp126,2041_2070,ensemble,banana
0,03,Comayagua,43.54,16.332433988845633,ssp126,2041_2070,ensemble,banana
0,04,Copán,38.72108843537415,11.531549336833512,ssp126,2041_2070,ensemble,banana
0,05,Cortés,43.76984126984127,15.076083602852618,ssp126,2041_2070,ensemble,banana
0,07,El Paraíso,46.163636363636364,15.702650194807749,ssp126,2041_2070,ensemble,banana
0,08,Francisco Morazán,41.56847545219638,15.550778323327862,ssp126,2041_2070,ensemble,banana
0,09,Gracias a Dios,48.68770764119601,25.51129282342429,ssp126,2041_2070,ensemble,banana
0,10,Intibucá,35.2109375,13.225007291910797,ssp126,2041_2070,ensemble,banana
0,12,La Paz,37.98863636363637,12.637870863348686,ssp126,2041_2070,ensemble,banana
0,13,Lempira,39.687150837988824,13.274177992609657,ssp126,2041_2070,ensemble,banana
0,14,Ocotepeque,31.21818181818182,12.637161518302653,ssp126,2041_2070,ensemble,banana
0,15,Olancho,39.17282321899736,11.546416602418747,ssp126,2041_2070,ensemble,banana
0,16,Santa Bárbara,39.346666666666664,5.4524041588194025,ssp126,2041_2070,ensemble,banana
0,17,Valle,50.20634920634921,21.992176624960333,ssp126,2041_2070,ensemble,banana
0,18,Yoro,41.43962848297214,12.001492780656175,ssp126,2041_2070,ensemble,banana
0,01,Atlántida,73.62135922330097,5.456120647625386,ssp126,2041_2070,ensemble,beans
0,06,Choluteca,52.973118279569896,18.628638143824062,ssp126,2041_2070,ensemble,beans
0,02,Colon,68.83644859813084,24.143193899867725,ssp126,2041_2070,ensemble,beans
0,03,Comayagua,70.73333333333333,10.220174451151301,ssp126,2041_2070,ensemble,beans
0,04,Copán,75.45454545454545,8.727199883145879,ssp126,2041_2070,ensemble,beans
0,05,Cortés,73.152,13.43610419727385,ssp126,2041_2070,ensemble,beans
0,07,El Paraíso,71.40184049079754,10.014461766133733,ssp126,2041_2070,ensemble,beans
0,08,Francisco Morazán,62.36052631578947,7.55116022711896,ssp126,2041_2070,ensemble,beans
0,09,Gracias a Dios,65.37748344370861,25.125049298980805,ssp126,2041_2070,ensemble,beans
0,10,Intibucá,54.1640625,10.981360161477891,ssp126,2041_2070,ensemble,beans
0,12,La Paz,57.74418604651163,4.600773561123774,ssp126,2041_2070,ensemble,beans
0,13,Lempira,60.67045454545455,7.8887457104597765,ssp126,2041_2070,ensemble,beans
0,14,Ocotepeque,62.888888888888886,7.357703613841469,ssp126,2041_2070,ensemble,beans
0,15,Olancho,73.7269129287599,13.4045275980537,ssp126,2041_2070,ensemble,beans
0,16,Santa Bárbara,65.57777777777778,20.56565517651957,ssp126,2041_2070,ensemble,beans
0,17,Valle,52.285714285714285,18.041775659126248,ssp126,2041_2070,ensemble,beans
0,18,Yoro,73.84829721362229,11.368247366419762,ssp126,2041_2070,ensemble,beans
0,01,Atlántida,41.64035087719298,18.341366912740238,ssp126,2041_2070,ensemble,cassava
0,06,Choluteca,48.97687861271676,19.398156684141163,ssp126,2041_2070,ensemble,cassava
0,02,Colon,34.96818181818182,14.543786125903841,ssp126,2041_2070,ensemble,cassava
0,03,Comayagua,42.83673469387755,18.21425427311069,ssp126,2041_2070,ensemble,cassava
0,04,Copán,31.836734693877553,9.225844220594334,ssp126,2041_2070,ensemble,cassava
0,05,Cortés,36.30769230769231,17.67271642570455,ssp126,2041_2070,ensemble,cassava
0,07,El Paraíso,45.50606060606061,14.878751157147798,ssp126,2041_2070,ensemble,cassava
0,08,Francisco Morazán,35.576227390180875,16.40338571057814,ssp126,2041_2070,ensemble,cassava
0,09,Gracias a Dios,42.82119205298013,21.681800618242214,ssp126,2041_2070,ensemble,cassava
0,10,Intibucá,31.755905511811022,14.896872015077248,ssp126,2041_2070,ensemble,cassava
0,12,La Paz,33.758620689655174,15.773515936342623,ssp126,2041_2070,ensemble,cassava
0,13,Lempira,33.48295454545455,13.364205258067239,ssp126,2041_2070,ensemble,cassava
0,14,Ocotepeque,20.472727272727273,7.417067652514939,ssp126,2041_2070,ensemble,cassava
0,15,Olancho,38.9155672823219,12.596152420987744,ssp126,2041_2070,ensemble,cassava
0,16,Santa Bárbara,37.19111111111111,5.374334986136413,ssp126,2041_2070,ensemble,cassava
0,17,Valle,59.206896551724135,17.711051119228333,ssp126,2041_2070,ensemble,cassava
0,18,Yoro,36.30864197530864,11.19759892175814,ssp126,2041_2070,ensemble,cassava
0,01,Atlántida,28.74561403508772,18.305310994022285,ssp126,2041_2070,ensemble,coffeearabica
